text,intent
Right now I want to end my life because I feel completely hopeless please help me,emergency
Right now I want to end my life because I feel completely hopeless I need someone right now,emergency
Right now I want to end my life because I feel completely hopeless I do not know what to do,emergency
Right now I want to end my life and I do not feel safe with myself,emergency
Right now I want to end my life and I do not feel safe with myself please help me,emergency
Right now I want to end my life and I do not feel safe with myself I need someone right now,emergency
Right now I want to end my life and I do not feel safe with myself I do not know what to do,emergency
Right now I want to end my life because I cannot go on like this,emergency
Right now I want to end my life because I cannot go on like this please help me,emergency
Right now I want to end my life because I cannot go on like this I need someone right now,emergency
Right now I want to end my life because I cannot go on like this I do not know what to do,emergency
Right now I want to kill myself because nothing feels worth it,emergency
Right now I want to kill myself because nothing feels worth it please help me,emergency
Right now I want to kill myself because nothing feels worth it I need someone right now,emergency
Right now I want to kill myself because nothing feels worth it I do not know what to do,emergency
Right now I want to kill myself and I cannot handle this pain,emergency
Right now I want to kill myself and I cannot handle this pain please help me,emergency
Right now I want to kill myself and I cannot handle this pain I need someone right now,emergency
Right now I want to kill myself and I cannot handle this pain I do not know what to do,emergency
Right now I want to kill myself and I have started making a plan,emergency
Right now I want to kill myself and I have started making a plan please help me,emergency
Right now I want to kill myself and I have started making a plan I need someone right now,emergency
Right now I want to kill myself and I have started making a plan I do not know what to do,emergency
Right now I want to kill myself because I feel completely hopeless,emergency
Right now I want to kill myself because I feel completely hopeless please help me,emergency
Right now I want to kill myself because I feel completely hopeless I need someone right now,emergency
Right now I want to kill myself because I feel completely hopeless I do not know what to do,emergency
Right now I want to kill myself and I do not feel safe with myself,emergency
Right now I want to kill myself and I do not feel safe with myself please help me,emergency
Right now I want to kill myself and I do not feel safe with myself I need someone right now,emergency
Right now I want to kill myself and I do not feel safe with myself I do not know what to do,emergency
Right now I want to kill myself because I cannot go on like this,emergency
Right now I want to kill myself because I cannot go on like this please help me,emergency
Right now I want to kill myself because I cannot go on like this I need someone right now,emergency
Right now I want to kill myself because I cannot go on like this I do not know what to do,emergency
Right now I do not want to live anymore because nothing feels worth it,emergency
Right now I do not want to live anymore because nothing feels worth it please help me,emergency
Right now I do not want to live anymore because nothing feels worth it I need someone right now,emergency
Right now I do not want to live anymore because nothing feels worth it I do not know what to do,emergency
Right now I do not want to live anymore and I cannot handle this pain,emergency
Right now I do not want to live anymore and I cannot handle this pain please help me,emergency
Right now I do not want to live anymore and I cannot handle this pain I need someone right now,emergency
Right now I do not want to live anymore and I cannot handle this pain I do not know what to do,emergency
Right now I do not want to live anymore and I have started making a plan,emergency
Right now I do not want to live anymore and I have started making a plan please help me,emergency
Right now I do not want to live anymore and I have started making a plan I need someone right now,emergency
Right now I do not want to live anymore and I have started making a plan I do not know what to do,emergency
Right now I do not want to live anymore because I feel completely hopeless,emergency
Right now I do not want to live anymore because I feel completely hopeless please help me,emergency
Right now I do not want to live anymore because I feel completely hopeless I need someone right now,emergency
Right now I do not want to live anymore because I feel completely hopeless I do not know what to do,emergency
Right now I do not want to live anymore and I do not feel safe with myself,emergency
Right now I do not want to live anymore and I do not feel safe with myself please help me,emergency
Right now I do not want to live anymore and I do not feel safe with myself I need someone right now,emergency
Right now I do not want to live anymore and I do not feel safe with myself I do not know what to do,emergency
Right now I do not want to live anymore because I cannot go on like this,emergency
Right now I do not want to live anymore because I cannot go on like this please help me,emergency
Right now I do not want to live anymore because I cannot go on like this I need someone right now,emergency
Right now I do not want to live anymore because I cannot go on like this I do not know what to do,emergency
Right now I am thinking of hurting myself because nothing feels worth it,emergency
Right now I am thinking of hurting myself because nothing feels worth it please help me,emergency
Right now I am thinking of hurting myself because nothing feels worth it I need someone right now,emergency
Right now I am thinking of hurting myself because nothing feels worth it I do not know what to do,emergency
Right now I am thinking of hurting myself and I cannot handle this pain,emergency
Right now I am thinking of hurting myself and I cannot handle this pain please help me,emergency
Right now I am thinking of hurting myself and I cannot handle this pain I need someone right now,emergency
Right now I am thinking of hurting myself and I cannot handle this pain I do not know what to do,emergency
Right now I am thinking of hurting myself and I have started making a plan,emergency
Right now I am thinking of hurting myself and I have started making a plan please help me,emergency
Right now I am thinking of hurting myself and I have started making a plan I need someone right now,emergency
Right now I am thinking of hurting myself and I have started making a plan I do not know what to do,emergency
Right now I am thinking of hurting myself because I feel completely hopeless,emergency
Right now I am thinking of hurting myself because I feel completely hopeless please help me,emergency
Right now I am thinking of hurting myself because I feel completely hopeless I need someone right now,emergency
Right now I am thinking of hurting myself because I feel completely hopeless I do not know what to do,emergency
Right now I am thinking of hurting myself and I do not feel safe with myself,emergency
Right now I am thinking of hurting myself and I do not feel safe with myself please help me,emergency
Right now I am thinking of hurting myself and I do not feel safe with myself I need someone right now,emergency
Right now I am thinking of hurting myself and I do not feel safe with myself I do not know what to do,emergency
Right now I am thinking of hurting myself because I cannot go on like this,emergency
Right now I am thinking of hurting myself because I cannot go on like this please help me,emergency
Right now I am thinking of hurting myself because I cannot go on like this I need someone right now,emergency
Right now I am thinking of hurting myself because I cannot go on like this I do not know what to do,emergency
Right now I feel like ending everything because nothing feels worth it,emergency
Right now I feel like ending everything because nothing feels worth it please help me,emergency
Right now I feel like ending everything because nothing feels worth it I need someone right now,emergency
Right now I feel like ending everything because nothing feels worth it I do not know what to do,emergency
Right now I feel like ending everything and I cannot handle this pain,emergency
Right now I feel like ending everything and I cannot handle this pain please help me,emergency
Right now I feel like ending everything and I cannot handle this pain I need someone right now,emergency
Right now I feel like ending everything and I cannot handle this pain I do not know what to do,emergency
Right now I feel like ending everything and I have started making a plan,emergency
Right now I feel like ending everything and I have started making a plan please help me,emergency
Right now I feel like ending everything and I have started making a plan I need someone right now,emergency
Right now I feel like ending everything and I have started making a plan I do not know what to do,emergency
Right now I feel like ending everything because I feel completely hopeless,emergency
Right now I feel like ending everything because I feel completely hopeless please help me,emergency
Right now I feel like ending everything because I feel completely hopeless I need someone right now,emergency
Right now I feel like ending everything because I feel completely hopeless I do not know what to do,emergency
Right now I feel like ending everything and I do not feel safe with myself,emergency
Right now I feel like ending everything and I do not feel safe with myself please help me,emergency
Right now I feel like ending everything and I do not feel safe with myself I need someone right now,emergency
Right now I feel like ending everything and I do not feel safe with myself I do not know what to do,emergency
Right now I feel like ending everything because I cannot go on like this,emergency
Right now I feel like ending everything because I cannot go on like this please help me,emergency
Right now I feel like ending everything because I cannot go on like this I need someone right now,emergency
Right now I feel like ending everything because I cannot go on like this I do not know what to do,emergency
Right now I might harm myself because nothing feels worth it,emergency
Right now I might harm myself because nothing feels worth it please help me,emergency
Right now I might harm myself because nothing feels worth it I need someone right now,emergency
Right now I might harm myself because nothing feels worth it I do not know what to do,emergency
Right now I might harm myself and I cannot handle this pain,emergency
Right now I might harm myself and I cannot handle this pain please help me,emergency
Right now I might harm myself and I cannot handle this pain I need someone right now,emergency
Right now I might harm myself and I cannot handle this pain I do not know what to do,emergency
Right now I might harm myself and I have started making a plan,emergency
Right now I might harm myself and I have started making a plan please help me,emergency
Right now I might harm myself and I have started making a plan I need someone right now,emergency
Right now I might harm myself and I have started making a plan I do not know what to do,emergency
Right now I might harm myself because I feel completely hopeless,emergency
Right now I might harm myself because I feel completely hopeless please help me,emergency
Right now I might harm myself because I feel completely hopeless I need someone right now,emergency
Right now I might harm myself because I feel completely hopeless I do not know what to do,emergency
Right now I might harm myself and I do not feel safe with myself,emergency
Right now I might harm myself and I do not feel safe with myself please help me,emergency
Right now I might harm myself and I do not feel safe with myself I need someone right now,emergency
Right now I might harm myself and I do not feel safe with myself I do not know what to do,emergency
Right now I might harm myself because I cannot go on like this,emergency
Right now I might harm myself because I cannot go on like this please help me,emergency
Right now I might harm myself because I cannot go on like this I need someone right now,emergency
Right now I might harm myself because I cannot go on like this I do not know what to do,emergency
Honestly I want to end my life because nothing feels worth it,emergency
Honestly I want to end my life because nothing feels worth it please help me,emergency
Honestly I want to end my life because nothing feels worth it I need someone right now,emergency
Honestly I want to end my life because nothing feels worth it I do not know what to do,emergency
Honestly I want to end my life and I cannot handle this pain,emergency
Honestly I want to end my life and I cannot handle this pain please help me,emergency
Honestly I want to end my life and I cannot handle this pain I need someone right now,emergency
Honestly I want to end my life and I cannot handle this pain I do not know what to do,emergency
Honestly I want to end my life and I have started making a plan,emergency
Honestly I want to end my life and I have started making a plan please help me,emergency
Honestly I want to end my life and I have started making a plan I need someone right now,emergency
Honestly I want to end my life and I have started making a plan I do not know what to do,emergency
Honestly I want to end my life because I feel completely hopeless,emergency
Honestly I want to end my life because I feel completely hopeless please help me,emergency
Honestly I want to end my life because I feel completely hopeless I need someone right now,emergency
Honestly I want to end my life because I feel completely hopeless I do not know what to do,emergency
Honestly I want to end my life and I do not feel safe with myself,emergency
Honestly I want to end my life and I do not feel safe with myself please help me,emergency
Honestly I want to end my life and I do not feel safe with myself I need someone right now,emergency
Honestly I want to end my life and I do not feel safe with myself I do not know what to do,emergency
Honestly I want to end my life because I cannot go on like this,emergency
Honestly I want to end my life because I cannot go on like this please help me,emergency
Honestly I want to end my life because I cannot go on like this I need someone right now,emergency
Honestly I want to end my life because I cannot go on like this I do not know what to do,emergency
Honestly I want to kill myself because nothing feels worth it,emergency
Honestly I want to kill myself because nothing feels worth it please help me,emergency
Honestly I want to kill myself because nothing feels worth it I need someone right now,emergency
Honestly I want to kill myself because nothing feels worth it I do not know what to do,emergency
Honestly I want to kill myself and I cannot handle this pain,emergency
Honestly I want to kill myself and I cannot handle this pain please help me,emergency
Honestly I want to kill myself and I cannot handle this pain I need someone right now,emergency
Honestly I want to kill myself and I cannot handle this pain I do not know what to do,emergency
Honestly I want to kill myself and I have started making a plan,emergency
Honestly I want to kill myself and I have started making a plan please help me,emergency
Honestly I want to kill myself and I have started making a plan I need someone right now,emergency
Honestly I want to kill myself and I have started making a plan I do not know what to do,emergency
Honestly I want to kill myself because I feel completely hopeless,emergency
Honestly I want to kill myself because I feel completely hopeless please help me,emergency
Honestly I want to kill myself because I feel completely hopeless I need someone right now,emergency
Honestly I want to kill myself because I feel completely hopeless I do not know what to do,emergency
Honestly I want to kill myself and I do not feel safe with myself,emergency
Honestly I want to kill myself and I do not feel safe with myself please help me,emergency
Honestly I want to kill myself and I do not feel safe with myself I need someone right now,emergency
Honestly I want to kill myself and I do not feel safe with myself I do not know what to do,emergency
Honestly I want to kill myself because I cannot go on like this,emergency
Honestly I want to kill myself because I cannot go on like this please help me,emergency
Honestly I want to kill myself because I cannot go on like this I need someone right now,emergency
Honestly I want to kill myself because I cannot go on like this I do not know what to do,emergency
Honestly I do not want to live anymore because nothing feels worth it,emergency
Honestly I do not want to live anymore because nothing feels worth it please help me,emergency
Honestly I do not want to live anymore because nothing feels worth it I need someone right now,emergency
Honestly I do not want to live anymore because nothing feels worth it I do not know what to do,emergency
Honestly I do not want to live anymore and I cannot handle this pain,emergency
Honestly I do not want to live anymore and I cannot handle this pain please help me,emergency
Honestly I do not want to live anymore and I cannot handle this pain I need someone right now,emergency
Honestly I do not want to live anymore and I cannot handle this pain I do not know what to do,emergency
Honestly I do not want to live anymore and I have started making a plan,emergency
Honestly I do not want to live anymore and I have started making a plan please help me,emergency
Honestly I do not want to live anymore and I have started making a plan I need someone right now,emergency
Honestly I do not want to live anymore and I have started making a plan I do not know what to do,emergency
Honestly I do not want to live anymore because I feel completely hopeless,emergency
Honestly I do not want to live anymore because I feel completely hopeless please help me,emergency
Honestly I do not want to live anymore because I feel completely hopeless I need someone right now,emergency
Honestly I do not want to live anymore because I feel completely hopeless I do not know what to do,emergency
Honestly I do not want to live anymore and I do not feel safe with myself,emergency
Honestly I do not want to live anymore and I do not feel safe with myself please help me,emergency
Honestly I do not want to live anymore and I do not feel safe with myself I need someone right now,emergency
Honestly I do not want to live anymore and I do not feel safe with myself I do not know what to do,emergency
Honestly I do not want to live anymore because I cannot go on like this,emergency
Honestly I do not want to live anymore because I cannot go on like this please help me,emergency
Honestly I do not want to live anymore because I cannot go on like this I need someone right now,emergency
Honestly I do not want to live anymore because I cannot go on like this I do not know what to do,emergency
Honestly I am thinking of hurting myself because nothing feels worth it,emergency
Honestly I am thinking of hurting myself because nothing feels worth it please help me,emergency
Honestly I am thinking of hurting myself because nothing feels worth it I need someone right now,emergency
Honestly I am thinking of hurting myself because nothing feels worth it I do not know what to do,emergency
Honestly I am thinking of hurting myself and I cannot handle this pain,emergency
Honestly I am thinking of hurting myself and I cannot handle this pain please help me,emergency
Honestly I am thinking of hurting myself and I cannot handle this pain I need someone right now,emergency
Honestly I am thinking of hurting myself and I cannot handle this pain I do not know what to do,emergency
Honestly I am thinking of hurting myself and I have started making a plan,emergency
Honestly I am thinking of hurting myself and I have started making a plan please help me,emergency
Honestly I am thinking of hurting myself and I have started making a plan I need someone right now,emergency
Honestly I am thinking of hurting myself and I have started making a plan I do not know what to do,emergency
Honestly I am thinking of hurting myself because I feel completely hopeless,emergency
Honestly I am thinking of hurting myself because I feel completely hopeless please help me,emergency
Honestly I am thinking of hurting myself because I feel completely hopeless I need someone right now,emergency
Honestly I am thinking of hurting myself because I feel completely hopeless I do not know what to do,emergency
Honestly I am thinking of hurting myself and I do not feel safe with myself,emergency
Honestly I am thinking of hurting myself and I do not feel safe with myself please help me,emergency
Honestly I am thinking of hurting myself and I do not feel safe with myself I need someone right now,emergency
Honestly I am thinking of hurting myself and I do not feel safe with myself I do not know what to do,emergency
Honestly I am thinking of hurting myself because I cannot go on like this,emergency
Honestly I am thinking of hurting myself because I cannot go on like this please help me,emergency
Honestly I am thinking of hurting myself because I cannot go on like this I need someone right now,emergency
Honestly I am thinking of hurting myself because I cannot go on like this I do not know what to do,emergency
Honestly I feel like ending everything because nothing feels worth it,emergency
Honestly I feel like ending everything because nothing feels worth it please help me,emergency
Honestly I feel like ending everything because nothing feels worth it I need someone right now,emergency
Honestly I feel like ending everything because nothing feels worth it I do not know what to do,emergency
Honestly I feel like ending everything and I cannot handle this pain,emergency
Honestly I feel like ending everything and I cannot handle this pain please help me,emergency
Honestly I feel like ending everything and I cannot handle this pain I need someone right now,emergency
Honestly I feel like ending everything and I cannot handle this pain I do not know what to do,emergency
Honestly I feel like ending everything and I have started making a plan,emergency
Honestly I feel like ending everything and I have started making a plan please help me,emergency
Honestly I feel like ending everything and I have started making a plan I need someone right now,emergency
Honestly I feel like ending everything and I have started making a plan I do not know what to do,emergency
Honestly I feel like ending everything because I feel completely hopeless,emergency
Honestly I feel like ending everything because I feel completely hopeless please help me,emergency
Honestly I feel like ending everything because I feel completely hopeless I need someone right now,emergency
Honestly I feel like ending everything because I feel completely hopeless I do not know what to do,emergency
Honestly I feel like ending everything and I do not feel safe with myself,emergency
Honestly I feel like ending everything and I do not feel safe with myself please help me,emergency
Honestly I feel like ending everything and I do not feel safe with myself I need someone right now,emergency
Honestly I feel like ending everything and I do not feel safe with myself I do not know what to do,emergency
Honestly I feel like ending everything because I cannot go on like this,emergency
Honestly I feel like ending everything because I cannot go on like this please help me,emergency
Honestly I feel like ending everything because I cannot go on like this I need someone right now,emergency
Honestly I feel like ending everything because I cannot go on like this I do not know what to do,emergency
Honestly I might harm myself because nothing feels worth it,emergency
Honestly I might harm myself because nothing feels worth it please help me,emergency
Honestly I might harm myself because nothing feels worth it I need someone right now,emergency
Honestly I might harm myself because nothing feels worth it I do not know what to do,emergency
Honestly I might harm myself and I cannot handle this pain,emergency
Honestly I might harm myself and I cannot handle this pain please help me,emergency
Honestly I might harm myself and I cannot handle this pain I need someone right now,emergency
Honestly I might harm myself and I cannot handle this pain I do not know what to do,emergency
Honestly I might harm myself and I have started making a plan,emergency
Honestly I might harm myself and I have started making a plan please help me,emergency
Honestly I might harm myself and I have started making a plan I need someone right now,emergency
Honestly I might harm myself and I have started making a plan I do not know what to do,emergency
Honestly I might harm myself because I feel completely hopeless,emergency
Honestly I might harm myself because I feel completely hopeless please help me,emergency
Honestly I might harm myself because I feel completely hopeless I need someone right now,emergency
Honestly I might harm myself because I feel completely hopeless I do not know what to do,emergency
Honestly I might harm myself and I do not feel safe with myself,emergency
Honestly I might harm myself and I do not feel safe with myself please help me,emergency
Honestly I might harm myself and I do not feel safe with myself I need someone right now,emergency
Honestly I might harm myself and I do not feel safe with myself I do not know what to do,emergency
Honestly I might harm myself because I cannot go on like this,emergency
Honestly I might harm myself because I cannot go on like this please help me,emergency
Honestly I might harm myself because I cannot go on like this I need someone right now,emergency
Honestly I might harm myself because I cannot go on like this I do not know what to do,emergency
Lately I want to end my life because nothing feels worth it,emergency
Lately I want to end my life because nothing feels worth it please help me,emergency
Lately I want to end my life because nothing feels worth it I need someone right now,emergency
Lately I want to end my life because nothing feels worth it I do not know what to do,emergency
Lately I want to end my life and I cannot handle this pain,emergency
Lately I want to end my life and I cannot handle this pain please help me,emergency
Lately I want to end my life and I cannot handle this pain I need someone right now,emergency
Lately I want to end my life and I cannot handle this pain I do not know what to do,emergency
Lately I want to end my life and I have started making a plan,emergency
Lately I want to end my life and I have started making a plan please help me,emergency
Lately I want to end my life and I have started making a plan I need someone right now,emergency
Lately I want to end my life and I have started making a plan I do not know what to do,emergency
Lately I want to end my life because I feel completely hopeless,emergency
Lately I want to end my life because I feel completely hopeless please help me,emergency
Lately I want to end my life because I feel completely hopeless I need someone right now,emergency
Lately I want to end my life because I feel completely hopeless I do not know what to do,emergency
Lately I want to end my life and I do not feel safe with myself,emergency
Lately I want to end my life and I do not feel safe with myself please help me,emergency
Lately I want to end my life and I do not feel safe with myself I need someone right now,emergency
Lately I want to end my life and I do not feel safe with myself I do not know what to do,emergency
Lately I want to end my life because I cannot go on like this,emergency
Lately I want to end my life because I cannot go on like this please help me,emergency
Lately I want to end my life because I cannot go on like this I need someone right now,emergency
Lately I want to end my life because I cannot go on like this I do not know what to do,emergency
Lately I want to kill myself because nothing feels worth it,emergency
Lately I want to kill myself because nothing feels worth it please help me,emergency
Lately I want to kill myself because nothing feels worth it I need someone right now,emergency
Lately I want to kill myself because nothing feels worth it I do not know what to do,emergency
Lately I want to kill myself and I cannot handle this pain,emergency
Lately I want to kill myself and I cannot handle this pain please help me,emergency
Lately I want to kill myself and I cannot handle this pain I need someone right now,emergency
Lately I want to kill myself and I cannot handle this pain I do not know what to do,emergency
Lately I want to kill myself and I have started making a plan,emergency
Lately I want to kill myself and I have started making a plan please help me,emergency
Lately I want to kill myself and I have started making a plan I need someone right now,emergency
Lately I want to kill myself and I have started making a plan I do not know what to do,emergency
Lately I want to kill myself because I feel completely hopeless,emergency
Lately I want to kill myself because I feel completely hopeless please help me,emergency
Lately I want to kill myself because I feel completely hopeless I need someone right now,emergency
Lately I want to kill myself because I feel completely hopeless I do not know what to do,emergency
Lately I want to kill myself and I do not feel safe with myself,emergency
Lately I want to kill myself and I do not feel safe with myself please help me,emergency
Lately I want to kill myself and I do not feel safe with myself I need someone right now,emergency
Lately I want to kill myself and I do not feel safe with myself I do not know what to do,emergency
Lately I want to kill myself because I cannot go on like this,emergency
Lately I want to kill myself because I cannot go on like this please help me,emergency
Lately I want to kill myself because I cannot go on like this I need someone right now,emergency
