text,sentiment
Lately I feel like nothing will ever get better and I feel unsafe with myself I am serious,very_negative
Lately I feel like nothing will ever get better and I want this to end forever,very_negative
Lately I feel like nothing will ever get better and I want this to end forever please help,very_negative
Lately I feel like nothing will ever get better and I want this to end forever I am serious,very_negative
Lately I feel like the pain will never stop,very_negative
Lately I feel like the pain will never stop please help,very_negative
Lately I feel like the pain will never stop I am serious,very_negative
Lately I feel like the pain will never stop and I cannot go on,very_negative
Lately I feel like the pain will never stop and I cannot go on please help,very_negative
Lately I feel like the pain will never stop and I cannot go on I am serious,very_negative
Lately I feel like the pain will never stop and I do not want to be here,very_negative
Lately I feel like the pain will never stop and I do not want to be here please help,very_negative
Lately I feel like the pain will never stop and I do not want to be here I am serious,very_negative
Lately I feel like the pain will never stop and I feel unsafe with myself,very_negative
Lately I feel like the pain will never stop and I feel unsafe with myself please help,very_negative
Lately I feel like the pain will never stop and I feel unsafe with myself I am serious,very_negative
Lately I feel like the pain will never stop and I want this to end forever,very_negative
Lately I feel like the pain will never stop and I want this to end forever please help,very_negative
Lately I feel like the pain will never stop and I want this to end forever I am serious,very_negative
Right now I feel completely hopeless,very_negative
Right now I feel completely hopeless please help,very_negative
Right now I feel completely hopeless I am serious,very_negative
Right now I feel completely hopeless and I cannot go on,very_negative
Right now I feel completely hopeless and I cannot go on please help,very_negative
Right now I feel completely hopeless and I cannot go on I am serious,very_negative
Right now I feel completely hopeless and I do not want to be here,very_negative
Right now I feel completely hopeless and I do not want to be here please help,very_negative
Right now I feel completely hopeless and I do not want to be here I am serious,very_negative
Right now I feel completely hopeless and I feel unsafe with myself,very_negative
Right now I feel completely hopeless and I feel unsafe with myself please help,very_negative
Right now I feel completely hopeless and I feel unsafe with myself I am serious,very_negative
Right now I feel completely hopeless and I want this to end forever,very_negative
Right now I feel completely hopeless and I want this to end forever please help,very_negative
Right now I feel completely hopeless and I want this to end forever I am serious,very_negative
Right now I feel like life is not worth it,very_negative
Right now I feel like life is not worth it please help,very_negative
Right now I feel like life is not worth it I am serious,very_negative
Right now I feel like life is not worth it and I cannot go on,very_negative
Right now I feel like life is not worth it and I cannot go on please help,very_negative
Right now I feel like life is not worth it and I cannot go on I am serious,very_negative
Right now I feel like life is not worth it and I do not want to be here,very_negative
Right now I feel like life is not worth it and I do not want to be here please help,very_negative
Right now I feel like life is not worth it and I do not want to be here I am serious,very_negative
Right now I feel like life is not worth it and I feel unsafe with myself,very_negative
Right now I feel like life is not worth it and I feel unsafe with myself please help,very_negative
Right now I feel like life is not worth it and I feel unsafe with myself I am serious,very_negative
Right now I feel like life is not worth it and I want this to end forever,very_negative
Right now I feel like life is not worth it and I want this to end forever please help,very_negative
Right now I feel like life is not worth it and I want this to end forever I am serious,very_negative
Right now I feel like I should disappear,very_negative
Right now I feel like I should disappear please help,very_negative
Right now I feel like I should disappear I am serious,very_negative
Right now I feel like I should disappear and I cannot go on,very_negative
Right now I feel like I should disappear and I cannot go on please help,very_negative
Right now I feel like I should disappear and I cannot go on I am serious,very_negative
Right now I feel like I should disappear and I do not want to be here,very_negative
Right now I feel like I should disappear and I do not want to be here please help,very_negative
Right now I feel like I should disappear and I do not want to be here I am serious,very_negative
Right now I feel like I should disappear and I feel unsafe with myself,very_negative
Right now I feel like I should disappear and I feel unsafe with myself please help,very_negative
Right now I feel like I should disappear and I feel unsafe with myself I am serious,very_negative
Right now I feel like I should disappear and I want this to end forever,very_negative
Right now I feel like I should disappear and I want this to end forever please help,very_negative
Right now I feel like I should disappear and I want this to end forever I am serious,very_negative
Right now I feel like ending everything,very_negative
Right now I feel like ending everything please help,very_negative
Right now I feel like ending everything I am serious,very_negative
Right now I feel like ending everything and I cannot go on,very_negative
Right now I feel like ending everything and I cannot go on please help,very_negative
Right now I feel like ending everything and I cannot go on I am serious,very_negative
Right now I feel like ending everything and I do not want to be here,very_negative
Right now I feel like ending everything and I do not want to be here please help,very_negative
Right now I feel like ending everything and I do not want to be here I am serious,very_negative
Right now I feel like ending everything and I feel unsafe with myself,very_negative
Right now I feel like ending everything and I feel unsafe with myself please help,very_negative
Right now I feel like ending everything and I feel unsafe with myself I am serious,very_negative
Right now I feel like ending everything and I want this to end forever,very_negative
Right now I feel like ending everything and I want this to end forever please help,very_negative
Right now I feel like ending everything and I want this to end forever I am serious,very_negative
Right now I feel beyond repair,very_negative
Right now I feel beyond repair please help,very_negative
Right now I feel beyond repair I am serious,very_negative
Right now I feel beyond repair and I cannot go on,very_negative
Right now I feel beyond repair and I cannot go on please help,very_negative
Right now I feel beyond repair and I cannot go on I am serious,very_negative
Right now I feel beyond repair and I do not want to be here,very_negative
Right now I feel beyond repair and I do not want to be here please help,very_negative
Right now I feel beyond repair and I do not want to be here I am serious,very_negative
Right now I feel beyond repair and I feel unsafe with myself,very_negative
Right now I feel beyond repair and I feel unsafe with myself please help,very_negative
Right now I feel beyond repair and I feel unsafe with myself I am serious,very_negative
Right now I feel beyond repair and I want this to end forever,very_negative
Right now I feel beyond repair and I want this to end forever please help,very_negative
Right now I feel beyond repair and I want this to end forever I am serious,very_negative
Right now I feel like nothing will ever get better,very_negative
Right now I feel like nothing will ever get better please help,very_negative
Right now I feel like nothing will ever get better I am serious,very_negative
Right now I feel like nothing will ever get better and I cannot go on,very_negative
Right now I feel like nothing will ever get better and I cannot go on please help,very_negative
Right now I feel like nothing will ever get better and I cannot go on I am serious,very_negative
Right now I feel like nothing will ever get better and I do not want to be here,very_negative
Right now I feel like nothing will ever get better and I do not want to be here please help,very_negative
Right now I feel like nothing will ever get better and I do not want to be here I am serious,very_negative
Right now I feel like nothing will ever get better and I feel unsafe with myself,very_negative
Right now I feel like nothing will ever get better and I feel unsafe with myself please help,very_negative
Right now I feel like nothing will ever get better and I feel unsafe with myself I am serious,very_negative
Right now I feel like nothing will ever get better and I want this to end forever,very_negative
Right now I feel like nothing will ever get better and I want this to end forever please help,very_negative
Right now I feel like nothing will ever get better and I want this to end forever I am serious,very_negative
Right now I feel like the pain will never stop,very_negative
Right now I feel like the pain will never stop please help,very_negative
Right now I feel like the pain will never stop I am serious,very_negative
Right now I feel like the pain will never stop and I cannot go on,very_negative
Right now I feel like the pain will never stop and I cannot go on please help,very_negative
Right now I feel like the pain will never stop and I cannot go on I am serious,very_negative
Right now I feel like the pain will never stop and I do not want to be here,very_negative
Right now I feel like the pain will never stop and I do not want to be here please help,very_negative
Right now I feel like the pain will never stop and I do not want to be here I am serious,very_negative
Right now I feel like the pain will never stop and I feel unsafe with myself,very_negative
Right now I feel like the pain will never stop and I feel unsafe with myself please help,very_negative
Right now I feel like the pain will never stop and I feel unsafe with myself I am serious,very_negative
Right now I feel like the pain will never stop and I want this to end forever,very_negative
Right now I feel like the pain will never stop and I want this to end forever please help,very_negative
Right now I feel like the pain will never stop and I want this to end forever I am serious,very_negative
Every day I feel completely hopeless,very_negative
Every day I feel completely hopeless please help,very_negative
Every day I feel completely hopeless I am serious,very_negative
Every day I feel completely hopeless and I cannot go on,very_negative
Every day I feel completely hopeless and I cannot go on please help,very_negative
Every day I feel completely hopeless and I cannot go on I am serious,very_negative
Every day I feel completely hopeless and I do not want to be here,very_negative
Every day I feel completely hopeless and I do not want to be here please help,very_negative
Every day I feel completely hopeless and I do not want to be here I am serious,very_negative
Every day I feel completely hopeless and I feel unsafe with myself,very_negative
Every day I feel completely hopeless and I feel unsafe with myself please help,very_negative
Every day I feel completely hopeless and I feel unsafe with myself I am serious,very_negative
Every day I feel completely hopeless and I want this to end forever,very_negative
Every day I feel completely hopeless and I want this to end forever please help,very_negative
Every day I feel completely hopeless and I want this to end forever I am serious,very_negative
Every day I feel like life is not worth it,very_negative
Every day I feel like life is not worth it please help,very_negative
Every day I feel like life is not worth it I am serious,very_negative
Every day I feel like life is not worth it and I cannot go on,very_negative
Every day I feel like life is not worth it and I cannot go on please help,very_negative
Every day I feel like life is not worth it and I cannot go on I am serious,very_negative
Every day I feel like life is not worth it and I do not want to be here,very_negative
Every day I feel like life is not worth it and I do not want to be here please help,very_negative
Every day I feel like life is not worth it and I do not want to be here I am serious,very_negative
Every day I feel like life is not worth it and I feel unsafe with myself,very_negative
Every day I feel like life is not worth it and I feel unsafe with myself please help,very_negative
Every day I feel like life is not worth it and I feel unsafe with myself I am serious,very_negative
Every day I feel like life is not worth it and I want this to end forever,very_negative
Every day I feel like life is not worth it and I want this to end forever please help,very_negative
Every day I feel like life is not worth it and I want this to end forever I am serious,very_negative
Every day I feel like I should disappear,very_negative
Every day I feel like I should disappear please help,very_negative
Every day I feel like I should disappear I am serious,very_negative
Every day I feel like I should disappear and I cannot go on,very_negative
Every day I feel like I should disappear and I cannot go on please help,very_negative
Every day I feel like I should disappear and I cannot go on I am serious,very_negative
Every day I feel like I should disappear and I do not want to be here,very_negative
Every day I feel like I should disappear and I do not want to be here please help,very_negative
Every day I feel like I should disappear and I do not want to be here I am serious,very_negative
Every day I feel like I should disappear and I feel unsafe with myself,very_negative
Every day I feel like I should disappear and I feel unsafe with myself please help,very_negative
Every day I feel like I should disappear and I feel unsafe with myself I am serious,very_negative
Every day I feel like I should disappear and I want this to end forever,very_negative
Every day I feel like I should disappear and I want this to end forever please help,very_negative
Every day I feel like I should disappear and I want this to end forever I am serious,very_negative
Every day I feel like ending everything,very_negative
Every day I feel like ending everything please help,very_negative
Every day I feel like ending everything I am serious,very_negative
Every day I feel like ending everything and I cannot go on,very_negative
Every day I feel like ending everything and I cannot go on please help,very_negative
Every day I feel like ending everything and I cannot go on I am serious,very_negative
Every day I feel like ending everything and I do not want to be here,very_negative
Every day I feel like ending everything and I do not want to be here please help,very_negative
Every day I feel like ending everything and I do not want to be here I am serious,very_negative
Every day I feel like ending everything and I feel unsafe with myself,very_negative
Every day I feel like ending everything and I feel unsafe with myself please help,very_negative
Every day I feel like ending everything and I feel unsafe with myself I am serious,very_negative
Every day I feel like ending everything and I want this to end forever,very_negative
Every day I feel like ending everything and I want this to end forever please help,very_negative
Every day I feel like ending everything and I want this to end forever I am serious,very_negative
Every day I feel beyond repair,very_negative
Every day I feel beyond repair please help,very_negative
Every day I feel beyond repair I am serious,very_negative
Every day I feel beyond repair and I cannot go on,very_negative
Every day I feel beyond repair and I cannot go on please help,very_negative
Every day I feel beyond repair and I cannot go on I am serious,very_negative
Every day I feel beyond repair and I do not want to be here,very_negative
Every day I feel beyond repair and I do not want to be here please help,very_negative
Every day I feel beyond repair and I do not want to be here I am serious,very_negative
Every day I feel beyond repair and I feel unsafe with myself,very_negative
Every day I feel beyond repair and I feel unsafe with myself please help,very_negative
Every day I feel beyond repair and I feel unsafe with myself I am serious,very_negative
Every day I feel beyond repair and I want this to end forever,very_negative
Every day I feel beyond repair and I want this to end forever please help,very_negative
Every day I feel beyond repair and I want this to end forever I am serious,very_negative
Every day I feel like nothing will ever get better,very_negative
Every day I feel like nothing will ever get better please help,very_negative
Every day I feel like nothing will ever get better I am serious,very_negative
Every day I feel like nothing will ever get better and I cannot go on,very_negative
Every day I feel like nothing will ever get better and I cannot go on please help,very_negative
Every day I feel like nothing will ever get better and I cannot go on I am serious,very_negative
Every day I feel like nothing will ever get better and I do not want to be here,very_negative
Every day I feel like nothing will ever get better and I do not want to be here please help,very_negative
Every day I feel like nothing will ever get better and I do not want to be here I am serious,very_negative
Every day I feel like nothing will ever get better and I feel unsafe with myself,very_negative
Every day I feel like nothing will ever get better and I feel unsafe with myself please help,very_negative
Every day I feel like nothing will ever get better and I feel unsafe with myself I am serious,very_negative
Every day I feel like nothing will ever get better and I want this to end forever,very_negative
Every day I feel like nothing will ever get better and I want this to end forever please help,very_negative
Every day I feel like nothing will ever get better and I want this to end forever I am serious,very_negative
Every day I feel like the pain will never stop,very_negative
Every day I feel like the pain will never stop please help,very_negative
Every day I feel like the pain will never stop I am serious,very_negative
Every day I feel like the pain will never stop and I cannot go on,very_negative
Every day I feel like the pain will never stop and I cannot go on please help,very_negative
Every day I feel like the pain will never stop and I cannot go on I am serious,very_negative
Every day I feel like the pain will never stop and I do not want to be here,very_negative
Every day I feel like the pain will never stop and I do not want to be here please help,very_negative
Every day I feel like the pain will never stop and I do not want to be here I am serious,very_negative
Every day I feel like the pain will never stop and I feel unsafe with myself,very_negative
Every day I feel like the pain will never stop and I feel unsafe with myself please help,very_negative
Every day I feel like the pain will never stop and I feel unsafe with myself I am serious,very_negative
Every day I feel like the pain will never stop and I want this to end forever,very_negative
Every day I feel like the pain will never stop and I want this to end forever please help,very_negative
Every day I feel like the pain will never stop and I want this to end forever I am serious,very_negative
Honestly I feel completely hopeless,very_negative
Honestly I feel completely hopeless please help,very_negative
Honestly I feel completely hopeless I am serious,very_negative
Honestly I feel completely hopeless and I cannot go on,very_negative
Honestly I feel completely hopeless and I cannot go on please help,very_negative
Honestly I feel completely hopeless and I cannot go on I am serious,very_negative
Honestly I feel completely hopeless and I do not want to be here,very_negative
Honestly I feel completely hopeless and I do not want to be here please help,very_negative
Honestly I feel completely hopeless and I do not want to be here I am serious,very_negative
Honestly I feel completely hopeless and I feel unsafe with myself,very_negative
Honestly I feel completely hopeless and I feel unsafe with myself please help,very_negative
Honestly I feel completely hopeless and I feel unsafe with myself I am serious,very_negative
Honestly I feel completely hopeless and I want this to end forever,very_negative
Honestly I feel completely hopeless and I want this to end forever please help,very_negative
Honestly I feel completely hopeless and I want this to end forever I am serious,very_negative
Honestly I feel like life is not worth it,very_negative
Honestly I feel like life is not worth it please help,very_negative
Honestly I feel like life is not worth it I am serious,very_negative
Honestly I feel like life is not worth it and I cannot go on,very_negative
Honestly I feel like life is not worth it and I cannot go on please help,very_negative
Honestly I feel like life is not worth it and I cannot go on I am serious,very_negative
Honestly I feel like life is not worth it and I do not want to be here,very_negative
Honestly I feel like life is not worth it and I do not want to be here please help,very_negative
Honestly I feel like life is not worth it and I do not want to be here I am serious,very_negative
Honestly I feel like life is not worth it and I feel unsafe with myself,very_negative
Honestly I feel like life is not worth it and I feel unsafe with myself please help,very_negative
Honestly I feel like life is not worth it and I feel unsafe with myself I am serious,very_negative
Honestly I feel like life is not worth it and I want this to end forever,very_negative
Honestly I feel like life is not worth it and I want this to end forever please help,very_negative
Honestly I feel like life is not worth it and I want this to end forever I am serious,very_negative
Honestly I feel like I should disappear,very_negative
Honestly I feel like I should disappear please help,very_negative
Honestly I feel like I should disappear I am serious,very_negative
Honestly I feel like I should disappear and I cannot go on,very_negative
Honestly I feel like I should disappear and I cannot go on please help,very_negative
Honestly I feel like I should disappear and I cannot go on I am serious,very_negative
Honestly I feel like I should disappear and I do not want to be here,very_negative
Honestly I feel like I should disappear and I do not want to be here please help,very_negative
Honestly I feel like I should disappear and I do not want to be here I am serious,very_negative
Honestly I feel like I should disappear and I feel unsafe with myself,very_negative
Honestly I feel like I should disappear and I feel unsafe with myself please help,very_negative
Honestly I feel like I should disappear and I feel unsafe with myself I am serious,very_negative
Honestly I feel like I should disappear and I want this to end forever,very_negative
Honestly I feel like I should disappear and I want this to end forever please help,very_negative
Honestly I feel like I should disappear and I want this to end forever I am serious,very_negative
Honestly I feel like ending everything,very_negative
Honestly I feel like ending everything please help,very_negative
Honestly I feel like ending everything I am serious,very_negative
Honestly I feel like ending everything and I cannot go on,very_negative
Honestly I feel like ending everything and I cannot go on please help,very_negative
Honestly I feel like ending everything and I cannot go on I am serious,very_negative
Honestly I feel like ending everything and I do not want to be here,very_negative
Honestly I feel like ending everything and I do not want to be here please help,very_negative
Honestly I feel like ending everything and I do not want to be here I am serious,very_negative
Honestly I feel like ending everything and I feel unsafe with myself,very_negative
Honestly I feel like ending everything and I feel unsafe with myself please help,very_negative
Honestly I feel like ending everything and I feel unsafe with myself I am serious,very_negative
Honestly I feel like ending everything and I want this to end forever,very_negative
Honestly I feel like ending everything and I want this to end forever please help,very_negative
Honestly I feel like ending everything and I want this to end forever I am serious,very_negative
Honestly I feel beyond repair,very_negative
Honestly I feel beyond repair please help,very_negative
Honestly I feel beyond repair I am serious,very_negative
Honestly I feel beyond repair and I cannot go on,very_negative
Honestly I feel beyond repair and I cannot go on please help,very_negative
Honestly I feel beyond repair and I cannot go on I am serious,very_negative
Honestly I feel beyond repair and I do not want to be here,very_negative
Honestly I feel beyond repair and I do not want to be here please help,very_negative
Honestly I feel beyond repair and I do not want to be here I am serious,very_negative
Honestly I feel beyond repair and I feel unsafe with myself,very_negative
Honestly I feel beyond repair and I feel unsafe with myself please help,very_negative
Honestly I feel beyond repair and I feel unsafe with myself I am serious,very_negative
Honestly I feel beyond repair and I want this to end forever,very_negative
Honestly I feel beyond repair and I want this to end forever please help,very_negative
Honestly I feel beyond repair and I want this to end forever I am serious,very_negative
Honestly I feel like nothing will ever get better,very_negative
Honestly I feel like nothing will ever get better please help,very_negative
Honestly I feel like nothing will ever get better I am serious,very_negative
Honestly I feel like nothing will ever get better and I cannot go on,very_negative
Honestly I feel like nothing will ever get better and I cannot go on please help,very_negative
Honestly I feel like nothing will ever get better and I cannot go on I am serious,very_negative
Honestly I feel like nothing will ever get better and I do not want to be here,very_negative
Honestly I feel like nothing will ever get better and I do not want to be here please help,very_negative
Honestly I feel like nothing will ever get better and I do not want to be here I am serious,very_negative
Honestly I feel like nothing will ever get better and I feel unsafe with myself,very_negative
Honestly I feel like nothing will ever get better and I feel unsafe with myself please help,very_negative
Honestly I feel like nothing will ever get better and I feel unsafe with myself I am serious,very_negative
Honestly I feel like nothing will ever get better and I want this to end forever,very_negative
Honestly I feel like nothing will ever get better and I want this to end forever please help,very_negative
Honestly I feel like nothing will ever get better and I want this to end forever I am serious,very_negative
Honestly I feel like the pain will never stop,very_negative
Honestly I feel like the pain will never stop please help,very_negative
Honestly I feel like the pain will never stop I am serious,very_negative
Honestly I feel like the pain will never stop and I cannot go on,very_negative
Honestly I feel like the pain will never stop and I cannot go on please help,very_negative
Honestly I feel like the pain will never stop and I cannot go on I am serious,very_negative
Honestly I feel like the pain will never stop and I do not want to be here,very_negative
Honestly I feel like the pain will never stop and I do not want to be here please help,very_negative
Honestly I feel like the pain will never stop and I do not want to be here I am serious,very_negative
